"","MM13","MM14","MM15","MM16","MM17","MM18","MM19","MM20","MM21"
"nbis-gene-963",15181.0222093204,13792.5151474501,14438.8388243784,16423.196160181,16623.0462898677,17662.4413789695,9357.93871133633,11162.8230849697,11459.3059160573
"nbis-gene-964",4907.80135862121,4825.81382969057,4728.13854526382,5661.67663424339,5698.40614061224,4725.71874708389,2499.16288878171,2965.27192216654,3243.36729379328
"nbis-gene-965",32587.136031223,33087.1278625326,32975.5699197545,43747.3852999199,42280.9661825487,43903.4225269972,33708.5817559188,37156.7110678589,40197.8286464021
"nbis-gene-966",13050.4291787904,12616.0407215416,13776.3053434387,13060.073561023,13802.9497208474,14549.1962417369,8821.51084253007,11184.4674055694,12885.6772989117
"nbis-gene-967",30635.9153092181,29779.1713041013,32706.9403602311,34178.8759930838,34035.2021701494,36054.5495869778,30274.0795958923,33008.5299720449,36965.3120339445
"nbis-gene-968",15680.6397125781,14962.5076205987,15745.8249505207,18107.9094022148,18503.1106692146,16606.6765349774,18834.0733937656,18477.6623902697,19298.4299683004
"nbis-gene-969",5325.17009601866,5238.4981553995,4973.52131598224,9224.15959366084,8596.12004639462,9445.13173144769,10092.1175317788,10078.7249401471,10984.8352140152
"nbis-gene-970",6577.27630821103,6441.98071780722,6518.14128324132,7906.64764759891,9081.2284011573,8206.49976857305,12391.2564694802,10581.2496010284,9528.87106388172
"nbis-gene-971",4145.6877941072,4080.38926231056,4657.10669058217,3994.29907571047,4085.69036566787,3850.11855223724,4052.75800882018,3834.80897582629,3994.03715710736
"nbis-gene-972",3459.69808735751,3357.65152958994,4620.94501910788,5532.44699360095,6252.50768360783,5153.60978880422,5258.58421391222,5489.18791558153,6100.05576180586
"nbis-gene-973",14374.2843143928,11920.3111253203,14841.7831636634,24169.0947425906,24107.7291945727,16953.4934845823,18546.5389640876,19527.8824680666,23439.4445362275
"nbis-gene-974",29.7495536090428,18.3655328195074,10.3319061355123,25.2155396375488,39.8866869471534,23.4214043889022,11.3649972204716,26.3496076866592,11.8371069116543
"nbis-gene-975",21.874671771355,23.7671601193625,15.4978592032685,27.579496478569,28.0284827196213,17.1156416688132,20.4569949968489,23.5264354345171,27.6199161271934
"nbis-gene-976",580.991282247189,547.725008205309,512.720841974798,278.158921626711,219.915787492413,220.701695203117,142.062465255895,126.101693929012,132.18102718014
"nbis-gene-977",1290.60563450995,1174.3137749885,1208.83301785494,1164.64273700929,1364.77150473233,1159.35951725066,956.93276596371,848.833790477377,917.375785653209
"nbis-gene-978",536.366951833625,489.387433366874,508.846377173981,439.695972429758,460.313927741473,280.1560294211,352.31491383462,351.014416682995,318.615461038695
"nbis-gene-979",1954.72066948828,1928.38094604828,1715.09641849504,3692.50058567356,3921.8315436147,3932.99429084412,3112.87273868717,3027.38171171366,3054.96000878278
"nbis-gene-980",1000.98498025721,972.292913973922,928.580063929168,1531.05604736742,1543.72258671145,1436.81307693458,1111.49672816212,1124.56361376992,1165.95503079795
"nbis-gene-981",491.742621420061,499.110362506613,543.716560381335,848.660505926253,863.492871477564,764.79893562223,568.249861023581,564.63445042841,572.126834063292
"nbis-gene-982",91.8736214396911,118.835800596813,81.3637608171594,105.590072232236,118.582042275321,75.6691526410687,75.0089816551126,92.223626903307,110.479664508774
"nbis-gene-983",108.498371985921,157.72751715577,136.897756295538,116.621870823663,115.347986576903,135.123486859051,92.0564774858201,85.6362249816422,106.533962204889
"nbis-gene-984",188.997164104507,159.888168075712,219.553005379636,169.416906939781,163.858822053171,136.024310104778,156.836961642508,143.040727441864,156.84166657942
"nbis-gene-985",27.1245929964802,16.2048818995654,11.6233944024513,19.699640341835,24.7944270212035,4.50411622863504,5.68249861023581,10.3516315911875,13.8099580635967
"nbis-gene-986",227.496586422092,193.378257334813,240.216817650661,95.3462592544816,77.6173367620282,76.5699758867957,693.264830448768,477.116110612007,292.968396063444
"nbis-gene-987",1088.48366734263,976.614215813806,1033.19061355123,952.674606931142,1214.92692403897,691.832252718343,651.214340733023,643.683273488388,765.466246953646
"nbis-gene-988",265.121021868823,253.876483093191,201.47216964249,208.816187623451,211.291638963299,134.222663613324,202.296950524395,158.097646119955,227.864308049346
"nbis-gene-989",340.369892762284,367.310656390148,414.567733687431,35.4593526153031,43.1207426455712,39.6362228119884,125.014969425188,93.1646843206877,106.533962204889
